Country,Actual_2022,Forecast_2030B,Total_Growth_%,Energy,GDP,Population,Coal,Oil,Cement
Cambodia,20.9,28.1,34.6,60.55,52.01,263.02,23.76,0.0,71.04
China,11711.8,5285.2,-54.9,42.77,47.58,314.15,6.01,71.41,32.17
India,2831.1,1663.5,-41.2,43.2,42.94,141.58,13.0,59.03,34.62
Indonesia,758.0,411.7,-45.7,37.27,37.23,354.23,4.21,54.46,30.24
Laos,22.5,52.4,132.2,87.72,67.04,1261.26,13.0,446.74,134.64
Malaysia,281.9,237.3,-15.8,43.03,43.4,186.44,7.31,57.38,33.05
Myanmar,31.6,51.8,63.6,46.58,37.63,399.08,7.74,72.58,95.19
Philippines,151.0,136.0,-9.9,34.32,26.52,149.92,5.2,37.37,14.54
Singapore,48.9,153.4,213.5,0.49,0.37,1.15,1.85,0.0,-0.0
Thailand,272.6,293.4,7.6,33.4,33.18,182.41,5.62,64.5,18.01
United States,5055.4,2757.2,-45.5,4.21,1.4,-0.52,2.2,3.76,0.76
Vietnam,322.7,337.8,4.7,76.91,76.75,494.54,11.49,151.15,44.61
